Id	Text	Date	Source	RetweetCount
1002170105596346368	Factual position of PSU Bank employee who are on strike.. https://t.co/v1wd7uvKTy	2018-05-31 12:49:07	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0
1002166507407724549	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 12:34:49	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002166456589709312	RT @koushiks1: Average salary of BOB in FY 2017 was more than HDFC Bank. This is despite top &amp; middle mgmt of BOB being paid less than HDFC…	2018-05-31 12:34:37	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	22
1002166193644486656	RT @koushiks1: Average salary of BOB in FY 2017 was more than HDFC Bank. This is despite top &amp; middle mgmt of BOB being paid less than HDFC…	2018-05-31 12:33:34	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	22
1002165931206787073	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 12:32:31	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	391
1002164715613667328	"RT @ParkdaleOrg: This Is Parkdale, Vol. 2, Issue 3!  INSIDE: A CHAT BETWEEN NEIGHBOURS, FROM RENT STRIKE TO RENT STRIKE   ""There are people…"	2018-05-31 12:27:42	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	9
1002162076209459200	RT @cpimspeak: Bank employees across India are on a two-day strike from today in protest against the measly 2% hike in wages that have been…	2018-05-31 12:17:12	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	63
1002162074540281857	RT @KoomarShah: Bank strike this is due to mismanagement of the @narendramodi ji. Banks has contributed so much for the reforms that this g…	2018-05-31 12:17:12	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	6
1002160155868319744	RT @ArunSFan: Govt bank employees across India are on strike, until their demands are addressed. Let top 100 big business families clear th…	2018-05-31 12:09:35	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	34
1002160061039325184	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 12:09:12	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	391
1002159071816966144	Why bank employees are on a strike https://t.co/NFMWKdcNm8	2018-05-31 12:05:16	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0
